INFO | 2020-09-18 23:06:55,394 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 23:55:44,801 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 23:56:19,490 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 23:56:42,551 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 23:56:47,933 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 23:56:57,543 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 23:57:08,379 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 23:59:14,314 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-18 23:59:18,661 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-19 00:10:34,608 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-19 00:11:09,551 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-19 00:11:32,718 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-19 00:11:34,964 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-19 00:11:44,631 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-19 00:11:55,330 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-19 00:13:46,935 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-19 00:13:50,760 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-20 20:08:32,072 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-20 20:09:06,973 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-20 20:09:31,044 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-20 20:09:33,188 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-20 20:09:42,609 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-20 20:09:53,404 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-20 20:10:19,081 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-20 20:10:22,700 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-27 20:02:38,938 | main | device_scan | 8 network hosts discovered
INFO | 2020-09-27 20:03:13,951 | main | device_scan | Device scan 12.5% complete
INFO | 2020-09-27 20:03:37,499 | main | device_scan | Device scan 25.0% complete
INFO | 2020-09-27 20:03:41,965 | main | device_scan | Device scan 37.5% complete
